Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-05-22,TCS,EQ,1209.2,1221.0,1240.0,1213.0,1239.0,1224.05,1222.33,1180458,144290714175000.0,27043,705131,0.5972999999999999
2012-05-23,TCS,EQ,1224.05,1233.0,1235.55,1214.1,1220.9,1225.15,1224.11,1081403,132375795980000.0,35494,696897,0.6444
2012-05-24,TCS,EQ,1225.15,1225.0,1228.95,1207.1,1223.0,1221.45,1217.99,602837,73424656005000.0,35630,303432,0.5033
2012-05-25,TCS,EQ,1221.45,1212.1,1225.0,1209.1,1223.15,1220.8,1218.72,457523,55759269190000.0,27072,267766,0.5853
2012-05-28,TCS,EQ,1220.8,1224.0,1230.0,1215.05,1228.9,1224.7,1221.25,395097,48251084210000.0,18554,223269,0.5651
2012-05-29,TCS,EQ,1224.7,1228.0,1248.0,1218.4,1240.2,1240.35,1236.97,787516,97413447685000.0,26795,406987,0.5168
2012-05-30,TCS,EQ,1240.35,1231.25,1257.0,1231.25,1239.8,1240.55,1245.5,790757,98488530815000.0,34395,385471,0.4875
2012-05-31,TCS,EQ,1240.55,1221.0,1255.9,1221.0,1244.05,1245.35,1241.44,2205801,273837059915000.0,47289,1503380,0.6816
2012-06-01,TCS,EQ,1245.35,1240.0,1245.0,1218.5,1223.7,1224.6,1224.73,739764,90600815210000.0,29285,476135,0.6436000000000001
2012-06-04,TCS,EQ,1224.6,1210.0,1216.0,1196.2,1215.0,1213.25,1207.71,602215,72729976650000.0,34162,355490,0.5903
2012-06-05,TCS,EQ,1213.25,1214.0,1230.9,1214.0,1227.0,1226.5,1224.06,1031699,126286025455000.0,28267,777222,0.7533
2012-06-06,TCS,EQ,1226.5,1230.0,1263.75,1229.1,1249.05,1251.15,1253.19,1645954,206269669365000.0,54561,1182436,0.7184
2012-06-07,TCS,EQ,1251.15,1247.0,1249.9,1231.55,1240.0,1240.2,1238.48,1074864,133119629034999.98,33363,715311,0.6655
2012-06-08,TCS,EQ,1240.2,1231.2,1242.6,1224.15,1230.0,1230.9,1228.54,1200122,147439396695000.0,33078,907532,0.7562000000000001
2012-06-11,TCS,EQ,1230.9,1233.0,1246.05,1227.1,1234.0,1233.55,1233.32,772524,95276595205000.0,20718,522886,0.6769
2012-06-12,TCS,EQ,1233.55,1221.1,1253.0,1221.1,1248.3,1248.1,1241.11,546071,67773153590000.0,21606,258495,0.47340000000000004
2012-06-13,TCS,EQ,1248.1,1249.0,1260.0,1242.6,1255.0,1250.4,1251.46,725429,90784362915000.0,27001,449380,0.6195
2012-06-14,TCS,EQ,1250.4,1249.0,1261.5,1245.0,1253.8,1254.0,1255.76,735562,92368764505000.0,41058,432276,0.5877
2012-06-15,TCS,EQ,1254.0,1254.05,1280.0,1249.0,1273.55,1272.45,1263.26,993020,125443763715000.02,36194,658874,0.6635
2012-06-18,TCS,EQ,1272.45,1276.0,1286.35,1250.0,1256.25,1257.15,1265.9,747694,94650229080000.0,38207,446178,0.5967
2012-06-19,TCS,EQ,1257.15,1256.9,1279.25,1255.1,1275.0,1273.95,1267.31,884529,112097661740000.02,45920,516672,0.5841
2012-06-20,TCS,EQ,1273.95,1274.0,1274.0,1243.3,1252.0,1252.8,1260.59,876870,110537089240000.02,43219,640884,0.7309
2012-06-21,TCS,EQ,1252.8,1245.05,1252.0,1209.0,1224.2,1224.05,1223.02,2077990,254142545544999.97,82725,1564595,0.7529000000000001
